index	length_bp
1	1401
2	1101
3	1074
4	2415
5	897
6	1194
7	1263
8	846
9	690
10	879
11	618
12	1149
13	1338
14	2736
15	1041
16	693
17	1185
18	2553
19	633
20	1401
21	618
22	660
23	738
24	213
25	480
26	1932
27	557
28	1044
29	1227
30	333
31	414
32	429
33	1662
34	348
35	363
36	531
37	1323
38	1338
39	924
40	1086
41	1185
42	861
43	90
44	115
45	99
46	1689
47	291
48	786
49	921
50	1317
51	1014
52	591
53	1503
54	1329
55	1392
56	453
57	744
58	474
59	288
60	1359
61	1485
62	861
63	270
64	324
65	360
66	1194
67	1383
68	294
69	2799
70	426
71	486
72	750
73	861
74	1110
75	744
76	942
77	903
78	696
79	2727
80	93
81	87
82	480
83	681
84	858
85	465
86	2868
87	618
88	132
89	1038
90	417
91	1191
92	132
93	345
94	1383
95	2319
96	1710
97	1392
98	1206
99	852
100	2082
101	690
102	2112
103	276
104	624
105	1686
106	618
107	882
108	903
109	864
110	717
111	642
112	597
113	459
114	1221
115	666
116	237
117	168
118	810
119	480
120	1278
121	1071
122	1125
123	798
124	162
125	1080
126	1014
127	1011
128	699
129	810
130	1146
131	1215
132	954
133	1047
134	933
135	1197
136	1026
137	1035
138	963
139	1260
140	1545
141	432
142	252
143	468
144	1020
145	822
146	1311
147	1197
148	1005
149	474
150	1191
151	777
152	1656
153	4386
154	684
155	363
156	210
157	591
158	1149
159	1917
160	609
161	1392
162	1851
163	882
164	1539
165	1956
166	816
167	696
168	861
169	663
170	1497
171	987
172	1278
173	474
174	933
175	465
176	999
177	801
178	474
179	1251
180	2028
181	825
182	1179
183	1323
184	1455
185	354
186	996
187	303
188	912
189	2070
190	276
191	468
192	288
193	486
194	540
195	213
196	291
197	711
198	975
199	663
200	2334
201	441
202	582
203	705
204	525
205	699
206	2529
207	1080
208	528
209	1692
210	1008
211	1125
212	1326
213	1608
214	1020
215	903
216	984
217	1014
218	1299
219	153
220	108
221	1680
222	192
223	1572
224	204
225	753
226	2625
227	2301
228	1110
229	3543
230	2007
231	1287
232	1488
233	930
234	768
235	2061
236	1323
237	1029
238	900
239	603
240	357
241	1590
242	1650
243	720
244	978
245	846
246	1320
247	1044
248	1353
249	843
250	1272
251	2043
252	759
253	1473
254	435
255	336
256	1497
257	1197
258	1068
259	2742
260	1125
261	402
262	579
263	1050
264	1260
265	558
266	666
267	246
268	1644
269	2199
270	627
271	372
272	270
273	597
274	1476
275	669
276	1056
277	855
278	1104
279	135
280	384
281	1110
282	927
283	1278
284	768
285	714
286	222
287	369
288	1317
289	888
290	846
291	1071
292	741
293	417
294	1743
295	1035
296	972
297	762
298	1215
299	489
300	1038
301	696
302	996
303	534
304	1341
305	381
306	1107
307	2187
308	1977
309	1296
310	1434
311	2448
312	756
313	906
314	1716
315	1335
316	1110
317	1560
318	546
319	1509
320	327
321	831
322	759
323	1584
324	1554
325	1215
326	1020
327	261
328	276
329	2706
330	2394
331	2079
332	1317
333	576
334	684
335	771
336	915
337	237
338	2319
339	228
340	2331
341	474
342	720
343	1353
344	1620
345	1710
346	879
347	402
348	669
349	2133
350	564
351	2553
352	780
353	540
354	474
355	402
356	1239
357	522
358	1089
359	1278
360	837
361	678
362	759
363	1005
364	171
365	459
366	5862
367	1374
368	810
369	327
370	2544
371	1182
372	573
373	168
374	603
375	564
376	1218
377	2088
378	633
379	405
380	870
381	219
382	1068
383	312
384	222
385	1908
386	552
387	1806
388	201
389	591
390	219
391	819
392	723
393	387
394	357
395	288
396	375
397	471
398	2115
399	1185
400	195
401	477
402	468
403	312
404	630
405	606
406	303
407	822
408	279
409	333
410	702
411	411
412	192
413	255
414	372
415	315
416	540
417	306
418	393
419	534
420	354
421	504
422	180
423	435
424	1332
425	117
426	357
427	390
428	621
429	990
430	384
431	369
432	426
433	204
434	414
435	1377
436	1290
437	948
438	510
439	1125
440	474
441	543
442	573
443	819
444	258
445	555
446	153
447	222
448	3114
449	1158
450	663
451	2100
452	165
453	885
454	297
455	966
456	882
457	1452
458	243
459	1350
460	471
461	600
462	1005
463	975
464	1941
465	1044
466	1053
467	489
468	594
469	1470
470	3801
471	1446
472	930
473	204
474	933
475	1968
476	273
477	267
478	264
479	471
480	939
481	630
482	666
483	1269
484	900
485	618
486	249
487	975
488	1776
489	1302
490	732
491	1071
492	1368
493	399
494	1125
495	429
496	393
497	753
498	639
499	501
500	792
501	894
502	1491
503	690
504	876
505	468
506	1281
507	1254
508	1104
509	1419
510	4461
511	930
512	2337
513	654
514	729
515	633
516	273
517	855
518	492
519	288
520	1434
521	726
522	555
523	576
524	567
525	987
526	978
527	813
528	783
529	552
530	636
531	297
532	255
533	1260
534	288
535	972
536	312
537	258
538	966
539	1173
540	1434
541	477
542	294
543	627
544	1935
545	849
546	1338
547	333
548	1065
549	1344
550	453
551	1503
552	2679
553	402
554	945
555	270
556	2136
557	885
558	81
559	1890
560	1245
561	531
562	720
563	1008
564	879
565	996
566	525
567	504
568	318
569	444
570	519
571	636
572	576
573	591
574	396
575	2043
576	864
577	774
578	1044
579	1374
580	285
581	465
582	1272
583	807
584	1428
585	915
586	855
587	834
588	948
589	1572
590	771
591	891
592	1146
593	939
594	990
595	1332
596	1209
597	2295
598	1365
599	1332
600	1311
601	165
602	702
603	897
604	366
605	987
606	393
607	300
608	399
609	306
610	369
611	384
612	663
613	1245
614	969
615	999
616	693
617	498
618	1137
619	2019
620	1380
621	1521
622	1566
623	648
624	768
625	507
626	1983
627	1746
628	216
629	1014
630	144
631	145
632	612
633	360
634	822
635	1242
636	615
637	1302
638	2844
639	1434
640	60
641	1680
642	621
643	210
644	300
645	654
646	678
647	672
648	1797
649	177
650	774
651	789
652	1164
653	672
654	1476
655	633
656	423
657	828
658	582
659	1893
660	315
661	582
662	1350
663	660
664	393
665	867
666	2259
667	738
668	1413
669	1308
670	483
671	984
672	2172
673	195
674	456
675	1486
676	828
677	1164
678	900
679	660
680	1188
681	735
682	426
683	885
684	405
685	411
686	504
687	495
688	1644
689	288
690	1119
691	987
692	1179
693	1704
694	495
695	489
696	342
697	249
698	1053
699	711
700	867
701	1857
702	1059
703	1413
704	1473
705	1185
706	1305
707	879
708	924
709	486
710	381
711	1485
712	1302
713	375
714	1500
715	558
716	684
717	1185
718	1740
719	879
720	843
721	528
722	1326
723	381
724	873
725	357
726	243
727	1371
728	1665
729	723
730	426
731	564
732	249
733	1239
734	435
735	756
736	2046
737	465
738	204
739	561
740	237
741	264
742	597
743	723
744	705
745	675
746	513
747	600
748	504
749	2091
750	759
751	354
752	363
753	1752
754	1290
755	426
756	537
757	1758
758	363
759	546
760	342
761	243
762	387
763	357
764	660
765	936
766	1506
767	402
768	2865
769	387
770	489
771	96
772	402
773	993
774	1434
775	354
776	1542
777	180
778	558
779	702
780	903
781	588
782	150
783	1005
784	618
785	1056
786	936
787	684
788	351
789	432
790	1476
791	681
792	1386
793	354
794	1293
795	3147
796	441
797	2448
798	189
799	738
800	450
801	1818
802	891
803	381
804	879
805	681
806	1401
807	435
808	1482
809	1590
810	1011
811	708
812	2136
813	1257
814	1086
815	276
816	1053
817	720
818	327
819	720
820	1047
821	1008
822	1137
823	594
824	291
825	567
826	705
827	981
828	687
829	417
830	564
831	948
832	732
833	708
834	498
835	1395
836	1155
837	300
838	150
839	132
840	1977
841	732
842	801
843	96
844	1473
845	1017
846	1008
847	474
848	957
849	921
850	85
851	759
852	1992
853	657
854	678
855	708
856	579
857	426
858	1047
859	1164
860	1080
861	861
862	636
863	747
864	894
865	660
866	1233
867	597
868	330
869	579
870	1317
871	1179
872	1203
873	1095
874	390
875	2874
876	894
877	1434
878	312
879	660
880	981
881	267
882	414
883	522
884	897
885	714
886	1734
887	75
888	1023
889	1518
890	546
891	759
892	807
893	252
894	228
895	399
896	537
897	633
898	585
899	2490
900	744
901	1077
902	513
903	759
904	867
905	273
906	1230
907	456
908	864
909	1179
910	837
911	762
912	1419
913	708
914	936
915	1263
916	1023
917	1029
918	2160
919	1203
920	1041
921	219
922	714
923	696
924	531
925	2247
926	876
927	795
928	471
929	564
930	408
931	321
932	3372
933	2889
934	3546
935	1836
936	1332
937	1254
938	1098
939	807
940	888
941	444
942	1206
943	228
944	918
945	396
946	1101
947	711
948	423
949	1419
950	1776
951	1317
952	648
953	1149
954	756
955	1368
956	1290
957	1365
958	849
959	546
960	330
961	783
962	450
963	252
964	1359
965	1341
966	1341
967	1143
968	2757
969	1296
970	2235
971	357
972	297
973	144
974	801
975	1638
976	1299
977	672
978	798
979	363
980	1800
981	1713
982	735
983	954
984	2664
985	1548
986	561
987	1059
988	747
989	651
990	921
991	294
992	1047
993	909
994	1440
995	606
996	324
997	312
998	711
999	480
1000	1050
1001	762
1002	627
1003	159
1004	1083
1005	993
1006	237
1007	1428
1008	594
1009	405
1010	765
1011	924
1012	1263
1013	639
1014	777
1015	951
1016	1497
1017	933
1018	1209
1019	381
1020	2568
1021	522
1022	657
1023	215
1024	528
1025	291
1026	179
1027	327
1028	348
1029	450
1030	444
1031	651
1032	1689
1033	1119
1034	2058
1035	408
1036	1296
1037	444
1038	1011
1039	912
1040	675
1041	261
1042	792
1043	1071
1044	498
1045	1782
1046	1230
1047	1032
1048	2058
1049	249
1050	261
1051	393
