index	length_bp
1	1464
2	861
3	771
4	1428
5	453
6	3252
7	798
8	345
9	738
10	630
11	1851
12	1185
13	795
14	654
15	1677
16	1161
17	228
18	855
19	564
20	1038
21	708
22	711
23	162
24	894
25	738
26	1311
27	2913
28	936
29	867
30	582
31	1989
32	147
33	492
34	105
35	2229
36	1407
37	984
38	1596
39	882
40	438
41	225
42	5235
43	1494
44	3018
45	1320
46	1464
47	2871
48	1521
49	786
50	1626
51	1413
52	1554
53	828
54	1749
55	2184
56	1077
57	1254
58	1734
59	756
60	1332
61	1413
62	621
63	1038
64	1029
65	243
66	822
67	1464
68	4257
69	990
70	378
71	912
72	2139
73	1272
74	942
75	309
76	1683
77	708
78	1104
79	1056
80	939
81	819
82	2139
83	984
84	819
85	1500
86	1230
87	1032
88	2466
89	2730
90	1287
91	852
92	921
93	531
94	1293
95	1674
96	2799
97	600
98	4176
99	840
100	1524
101	1158
102	258
103	882
104	2151
105	3711
106	405
107	540
108	684
109	426
110	858
111	504
112	153
113	1221
114	921
115	1161
116	591
117	492
118	2943
119	849
120	1263
121	1161
122	1365
123	3234
124	6618
125	1347
126	1113
127	795
128	684
129	1338
130	600
131	1146
132	576
133	4092
134	189
135	810
136	1311
137	1224
138	1584
139	996
140	957
141	354
142	693
143	669
144	699
145	897
146	1329
147	3684
148	828
149	1014
150	1656
151	963
152	948
153	3003
154	492
155	471
156	642
157	1206
158	984
159	1056
160	819
161	297
162	795
163	1191
164	531
165	1626
166	561
167	234
168	2076
169	1257
170	501
171	1779
172	1341
173	885
174	1563
175	2010
176	969
177	1530
178	1191
179	1260
180	1746
181	1320
182	915
183	2190
184	567
185	2109
186	1635
187	1560
188	1047
189	648
190	1872
191	1011
192	810
193	1044
194	1203
195	741
196	903
197	999
198	1176
199	2238
200	366
201	1050
202	1791
203	2256
204	480
205	129
206	1482
207	204
208	969
209	1158
210	447
211	1374
212	2295
213	1644
214	642
215	588
216	750
217	1140
218	1038
219	1926
220	3282
221	963
222	258
223	564
224	135
225	984
226	468
227	1038
228	477
229	711
230	762
231	558
232	1098
233	501
234	2112
235	885
236	981
237	1026
238	306
239	333
240	2295
241	1137
242	2367
243	207
244	1638
245	471
246	1587
247	696
248	441
249	504
250	1377
251	897
252	399
253	696
254	258
255	1044
256	1437
257	564
258	2997
259	2811
260	645
261	2772
262	2904
263	423
264	888
265	396
266	1536
267	2349
268	387
269	576
270	525
271	1041
272	1446
273	2157
274	774
275	849
276	2784
277	1575
278	2523
279	474
280	654
281	867
282	267
283	1005
284	576
285	486
286	1398
287	1326
288	516
289	1878
290	207
291	2562
292	1011
293	996
294	690
295	4956
296	807
297	345
298	1164
299	627
300	1482
301	498
302	1335
303	1350
304	1857
305	393
306	435
307	1476
308	1443
309	1482
310	3306
311	2589
312	2136
313	1797
314	633
315	792
316	987
317	1221
318	3066
319	792
320	1170
321	1053
322	1203
323	1032
324	936
325	957
326	288
327	1296
328	768
329	246
330	1254
331	1134
332	1200
333	2781
334	105
335	690
336	2919
337	3177
338	1398
339	1674
340	1428
341	2019
342	1521
343	1341
344	1524
345	1179
346	1020
347	816
348	225
349	1116
350	951
351	1551
352	4263
353	912
354	1446
355	219
356	741
357	1452
358	1158
359	1068
360	924
361	1806
362	774
363	1527
364	1512
365	651
366	933
367	2004
368	696
369	339
370	363
371	2691
372	1389
373	1122
374	1107
375	225
376	576
377	969
378	552
379	1089
380	1458
381	804
382	1110
383	1647
384	1494
385	555
386	1011
387	1323
388	1527
389	1659
390	1323
391	1641
392	372
393	228
394	1572
395	696
396	1221
397	2913
398	4977
399	2085
400	294
401	651
402	729
403	831
404	1329
405	867
406	831
407	2430
408	1257
409	480
410	1125
411	912
412	2295
413	2352
414	1392
415	1062
416	1104
417	183
418	255
419	2292
420	1020
421	1503
422	669
423	2538
424	705
425	1569
426	2526
427	1425
428	234
429	537
430	3192
431	1698
432	942
433	1401
434	978
435	852
436	1929
437	816
438	546
439	309
440	285
441	525
442	1218
443	2121
444	1431
445	246
446	1302
447	1074
448	912
449	783
450	1842
451	210
452	231
453	543
454	183
455	780
456	993
457	333
458	738
459	2691
460	1317
461	825
462	681
463	1593
464	1398
465	1848
466	1620
467	711
468	246
469	1431
470	1770
471	1137
472	855
473	519
474	279
475	393
476	1023
477	852
478	1347
479	996
480	1119
481	483
482	2016
483	1584
484	2355
485	1695
486	627
487	1122
488	918
489	2172
490	807
491	768
492	963
493	3147
494	1014
495	978
496	486
497	543
498	642
499	3357
500	1446
501	921
502	1032
503	1584
504	2016
505	1419
506	2058
507	294
508	1119
509	546
510	579
511	1755
512	1203
513	1290
514	1326
515	546
516	387
517	498
518	2121
519	930
520	1812
521	1719
522	1017
523	783
524	1569
525	591
526	768
527	345
528	1158
529	879
530	3876
531	1629
532	2166
533	951
534	210
535	1644
536	1062
537	3882
538	279
539	2253
540	591
541	1170
542	603
543	1509
544	1638
545	1650
546	453
547	1440
548	921
549	1671
550	648
551	627
552	372
553	810
554	297
555	1161
556	744
557	1419
558	840
559	477
560	210
561	2511
562	744
563	2574
564	843
565	1161
566	1077
567	1251
568	888
569	1209
570	159
571	627
572	708
573	852
574	1095
575	960
576	1437
577	1215
578	1245
579	1119
580	1836
581	1221
582	939
583	1191
584	1395
585	909
586	93
587	831
588	843
589	1107
590	789
591	1134
592	1296
593	1452
594	897
595	1266
596	1125
597	2034
598	603
599	429
600	1551
601	1113
602	669
603	873
604	2724
605	3000
606	3474
607	630
608	1332
609	1179
610	576
611	261
612	1095
613	714
614	117
615	1689
616	1965
617	1761
618	1620
619	1536
620	306
621	1374
622	3381
623	2772
624	702
625	738
626	597
627	150
628	1962
629	1128
630	1764
631	1134
632	699
633	780
634	927
635	1161
636	1584
637	711
638	972
639	363
640	1068
641	417
642	714
643	447
644	444
645	669
646	213
647	915
648	1209
649	948
650	495
651	729
652	1182
653	885
654	1527
655	1452
656	768
657	1224
658	405
659	1119
660	1098
661	1812
662	441
663	3744
664	1488
665	549
666	744
667	585
668	1242
669	552
670	1065
671	1854
672	1551
673	192
674	945
675	1548
676	1035
677	1335
678	135
679	261
680	1035
681	261
682	372
683	2259
684	1350
685	444
686	354
687	1029
688	1419
689	2292
690	1365
691	396
692	2997
693	303
694	1257
695	1167
696	1812
697	348
698	2199
699	297
700	11580
701	630
702	2652
703	1911
704	3288
705	1455
706	702
707	1161
708	1269
709	2556
710	2643
711	1497
712	342
713	1794
714	390
715	1230
716	4698
717	1011
718	1461
719	1023
720	1029
721	1620
722	684
723	1005
724	1053
725	1806
726	1608
727	2034
728	1116
729	1686
730	1074
731	1005
732	222
733	1062
734	681
735	1014
736	744
737	2079
738	1938
739	567
740	498
741	465
742	171
743	714
744	1347
745	1014
746	1194
747	1644
748	1164
749	3063
750	729
751	915
752	1056
753	1419
754	516
755	441
756	441
757	297
758	315
759	312
760	840
761	426
762	1038
763	723
764	219
765	954
766	1605
767	702
768	2649
769	243
770	882
771	657
772	357
773	1446
774	825
775	549
776	1488
777	3579
778	654
779	153
780	1116
781	1275
782	1095
783	177
784	6210
785	1074
786	2226
787	1218
788	999
789	1089
790	402
791	2439
792	1578
793	1506
794	1371
795	1410
796	726
797	1731
798	2130
799	684
800	282
801	504
802	333
803	303
804	516
805	1080
806	558
807	690
808	1281
809	750
810	2550
811	1350
812	786
813	801
814	2892
815	252
816	1830
817	882
818	1290
819	909
820	1638
821	612
822	1047
823	4671
824	651
825	1326
826	636
827	1032
828	1761
829	1746
830	414
831	813
832	1098
833	2685
834	1605
835	978
836	1350
837	1896
838	3084
839	1152
840	318
841	717
842	1059
843	270
844	375
845	1221
846	528
847	678
848	585
849	357
850	861
851	531
852	786
853	2865
854	1545
855	2388
856	567
857	993
858	1836
859	1806
860	2214
861	927
862	1881
863	1320
864	1053
865	765
866	1428
867	768
868	1173
869	3420
870	702
871	1230
872	2121
873	1431
874	1608
875	933
876	933
877	429
878	933
879	390
880	5058
881	930
882	213
883	879
884	1113
885	1200
886	1287
887	123
888	738
889	1479
890	1422
891	3261
892	1419
893	2148
894	393
895	957
896	291
897	627
898	675
899	1047
900	1350
901	1191
902	912
903	2448
904	1533
905	1881
906	930
907	969
908	1440
909	3018
910	1479
911	1038
912	2355
913	1017
914	2001
915	1134
916	1227
917	1617
918	1206
919	2370
920	1176
921	1860
922	1452
923	837
924	1293
925	1791
926	417
927	762
928	390
929	3279
930	246
931	1215
932	888
933	1197
934	318
935	1122
936	3354
937	2511
938	156
939	1284
940	1470
941	675
942	939
943	3738
944	3645
945	1827
946	1122
947	1128
948	525
949	1188
950	1308
951	909
952	414
953	501
954	2535
955	2688
956	987
957	459
958	1746
959	1389
960	921
961	918
962	1296
963	2775
964	1389
965	396
966	1215
967	768
968	1116
969	717
970	3282
971	138
972	1308
973	1224
974	1569
975	783
976	945
977	975
978	3138
979	699
980	1557
981	1320
982	3552
983	3945
984	11628
985	4863
986	429
987	861
988	1944
989	405
990	525
991	1041
992	633
993	414
994	903
995	405
996	606
997	1041
998	1356
999	1065
1000	762
1001	711
1002	381
1003	204
1004	936
1005	504
1006	1581
1007	1197
1008	873
1009	1170
1010	948
1011	993
1012	792
1013	1194
1014	1803
1015	603
1016	99
1017	591
1018	1596
1019	243
1020	2001
1021	5529
1022	546
1023	1470
1024	1116
1025	3930
1026	2172
1027	1593
1028	2586
1029	3882
1030	2748
1031	693
1032	864
1033	2067
1034	357
1035	483
1036	1698
1037	375
1038	1425
1039	219
1040	1137
1041	1779
1042	1137
1043	1050
1044	933
1045	804
1046	585
1047	1803
1048	1650
1049	1710
1050	1290
1051	1485
1052	1086
1053	855
1054	1038
1055	1224
1056	1107
1057	3336
1058	918
1059	135
1060	1602
1061	1131
1062	639
1063	498
1064	4902
1065	897
1066	1329
1067	912
1068	1317
1069	255
1070	1830
1071	1212
1072	255
1073	720
1074	978
1075	1293
1076	207
1077	1323
1078	600
1079	993
1080	306
1081	2127
1082	2895
1083	534
1084	186
1085	1257
1086	1065
1087	1071
1088	762
1089	2691
1090	1338
1091	3510
1092	927
1093	2295
1094	2181
1095	4422
1096	411
1097	996
1098	2013
1099	366
1100	480
1101	249
1102	771
1103	423
1104	267
1105	4881
1106	2001
1107	225
1108	546
1109	3225
1110	480
1111	645
1112	1071
1113	1182
1114	366
1115	1413
1116	1209
1117	1197
1118	1044
1119	201
1120	846
1121	483
1122	870
1123	1242
1124	372
1125	1050
1126	1371
1127	1554
1128	828
1129	786
1130	1269
1131	1479
1132	1419
1133	201
1134	2565
1135	1221
1136	225
1137	1890
1138	1788
1139	741
1140	669
1141	1026
1142	1215
1143	1638
1144	4167
1145	984
1146	774
1147	3429
1148	1518
1149	717
1150	1959
1151	2691
1152	1308
1153	3915
1154	873
1155	1146
1156	684
1157	369
1158	645
1159	795
1160	480
1161	2145
1162	1323
1163	549
1164	1215
1165	768
1166	918
1167	879
1168	2475
1169	267
1170	1491
1171	672
1172	1785
1173	720
1174	471
1175	408
1176	1083
1177	885
1178	2523
1179	1218
1180	1941
1181	1434
1182	1752
1183	447
1184	1185
1185	2679
1186	324
1187	1305
1188	1143
1189	456
1190	2253
1191	645
1192	999
1193	1527
1194	1014
1195	1011
1196	1056
1197	267
1198	234
1199	3543
1200	195
1201	1290
1202	825
1203	348
1204	678
1205	1605
1206	3180
1207	1503
1208	1098
1209	1221
1210	1128
1211	1005
1212	528
1213	1347
1214	1599
1215	1359
1216	1254
1217	2055
1218	1122
1219	891
1220	1662
1221	489
1222	741
1223	816
1224	726
1225	759
1226	1242
1227	1245
1228	240
1229	1542
1230	942
1231	726
1232	1341
1233	912
1234	465
1235	174
1236	1680
1237	2745
1238	651
1239	1593
1240	2004
1241	1374
1242	2940
1243	744
1244	2094
1245	1752
1246	1284
1247	1302
1248	2835
1249	1449
1250	1284
1251	3201
1252	954
1253	1362
1254	1149
1255	1941
1256	3225
1257	630
1258	1416
1259	951
1260	1005
1261	1422
1262	693
1263	288
1264	579
1265	756
1266	1443
1267	342
1268	1086
1269	1194
1270	1278
1271	1239
1272	576
1273	2370
1274	1152
1275	813
1276	201
1277	1470
1278	480
1279	303
1280	252
1281	462
1282	2223
1283	1122
1284	1275
1285	1662
1286	270
1287	573
1288	1635
1289	471
1290	459
1291	441
1292	465
1293	276
1294	276
1295	381
1296	1839
1297	1485
1298	1287
1299	1050
1300	198
1301	1266
1302	456
1303	831
1304	2085
1305	630
1306	14298
1307	1194
1308	1410
1309	201
1310	1584
1311	1248
1312	819
1313	2862
1314	3732
1315	1893
1316	996
1317	1599
1318	1053
1319	1005
1320	225
1321	1149
1322	213
1323	765
1324	1932
1325	1113
1326	1011
1327	558
1328	297
1329	642
1330	1344
1331	1449
1332	3396
1333	1464
1334	1395
1335	1935
1336	3762
1337	1092
1338	951
1339	948
1340	867
1341	1110
1342	750
1343	1095
1344	1653
1345	2058
1346	825
1347	2025
1348	897
1349	2853
1350	1719
1351	399
1352	759
1353	4551
1354	243
1355	822
1356	1152
1357	2403
1358	675
1359	282
1360	2106
1361	1422
1362	1296
1363	273
1364	1086
1365	1158
1366	1116
1367	2628
1368	1359
1369	1008
1370	957
1371	630
1372	597
1373	822
1374	915
1375	1344
1376	2289
1377	741
1378	828
1379	1026
1380	249
1381	1062
1382	522
1383	855
1384	3156
1385	1644
1386	186
1387	2082
1388	639
1389	534
1390	408
1391	519
1392	1152
1393	1293
1394	1194
1395	1167
1396	351
1397	699
1398	1782
1399	765
1400	1842
1401	1389
1402	543
1403	1911
1404	1560
1405	1770
1406	1836
1407	2715
1408	963
1409	5835
1410	1710
1411	1317
1412	1194
1413	1641
1414	915
1415	204
1416	1938
1417	2949
1418	3729
1419	921
1420	1542
1421	1668
1422	846
1423	2577
1424	2127
1425	1227
1426	1299
1427	3162
1428	972
1429	1236
1430	1506
1431	2079
1432	1485
1433	1152
1434	324
1435	1131
1436	300
1437	1146
1438	1146
1439	900
1440	600
1441	423
1442	216
1443	1674
1444	1152
1445	1419
1446	621
1447	1134
1448	966
1449	1755
1450	1422
1451	675
1452	507
1453	1806
1454	1008
1455	432
1456	1113
1457	753
1458	264
1459	834
1460	354
1461	882
1462	657
1463	1242
1464	663
1465	1743
1466	2082
1467	1041
1468	1182
1469	1248
1470	1056
1471	339
1472	231
1473	3246
1474	1215
1475	1431
1476	1167
1477	879
1478	1206
1479	600
1480	1299
1481	1074
1482	624
1483	411
1484	1206
1485	1002
1486	2406
1487	2601
1488	1371
1489	984
1490	867
1491	1098
1492	1890
1493	351
1494	732
1495	1017
1496	990
1497	1218
1498	1314
1499	273
1500	645
1501	222
1502	4275
1503	1119
1504	738
1505	1269
1506	237
1507	483
1508	4605
1509	609
1510	297
1511	1269
1512	282
1513	2565
1514	1272
1515	1665
1516	1008
1517	954
1518	921
1519	1809
1520	744
1521	2679
1522	552
1523	1188
1524	543
1525	3690
1526	1563
1527	516
1528	801
1529	3834
1530	2667
1531	4818
1532	414
1533	930
1534	1038
1535	408
1536	426
1537	936
1538	4425
1539	1020
1540	2250
1541	900
1542	1596
1543	1644
1544	2859
1545	1233
1546	1383
1547	1044
1548	1485
1549	2079
1550	324
1551	234
1552	1170
1553	1014
1554	1566
1555	1095
1556	213
1557	351
1558	609
1559	1173
1560	1623
1561	297
1562	1638
1563	192
1564	867
1565	1011
1566	978
1567	630
1568	1074
1569	2256
1570	2196
1571	1500
1572	1461
1573	393
1574	489
1575	1581
1576	429
1577	2529
1578	2580
1579	3147
1580	321
1581	924
1582	927
1583	786
1584	561
1585	585
1586	987
1587	855
1588	3126
1589	351
1590	3687
1591	2022
1592	1995
1593	504
1594	816
1595	3429
1596	732
1597	1833
1598	1206
1599	138
1600	426
1601	5025
1602	1071
1603	1305
1604	1494
1605	1677
1606	2601
1607	2532
1608	1197
1609	882
1610	846
1611	723
1612	297
1613	339
1614	279
1615	1212
1616	306
1617	1425
1618	306
1619	303
1620	993
1621	1050
1622	1335
1623	429
1624	2691
1625	2469
1626	1329
1627	1401
1628	456
1629	1494
1630	375
1631	3396
1632	2121
1633	861
1634	1266
1635	1992
1636	438
1637	2670
1638	5739
1639	1359
1640	999
1641	3639
1642	3225
1643	408
1644	1179
1645	1347
1646	1233
1647	2427
1648	741
1649	1311
1650	1065
1651	447
1652	771
1653	1440
1654	444
1655	1407
1656	861
1657	201
1658	696
1659	1125
1660	993
1661	2277
1662	363
1663	555
1664	1404
1665	2220
1666	1512
1667	1056
1668	759
1669	666
1670	885
1671	1269
1672	1188
1673	2571
1674	1131
1675	2100
1676	864
1677	1221
1678	258
1679	741
1680	174
1681	837
1682	693
1683	2154
1684	2142
1685	960
1686	828
1687	684
1688	1026
1689	1347
1690	405
1691	1509
1692	3219
1693	1392
1694	264
1695	828
1696	906
1697	1314
1698	828
1699	990
1700	975
1701	1257
1702	471
1703	219
1704	534
1705	378
1706	993
1707	1974
1708	687
1709	1290
1710	1245
1711	756
1712	1803
1713	159
1714	324
1715	321
1716	1020
1717	579
1718	486
1719	765
1720	1410
1721	1296
1722	195
1723	1704
1724	1263
1725	453
1726	1467
1727	747
1728	1734
1729	1257
1730	564
1731	2778
1732	927
1733	2214
1734	2919
1735	216
1736	843
1737	942
1738	1119
1739	1659
1740	861
1741	759
1742	1968
1743	1212
1744	756
1745	2097
1746	2031
1747	591
1748	1086
1749	1347
1750	690
1751	1188
1752	2070
1753	996
1754	1626
1755	261
1756	1164
1757	1275
1758	1359
1759	1425
1760	1656
1761	858
1762	1458
1763	234
1764	819
1765	513
1766	903
1767	1041
1768	1182
1769	972
1770	2016
1771	1011
1772	294
1773	744
1774	792
1775	1128
1776	738
1777	930
1778	630
1779	546
1780	1737
1781	4563
1782	1554
1783	834
1784	1371
1785	3501
1786	1524
1787	966
1788	2091
1789	159
1790	2151
1791	4818
