index	length_bp
1	2943
2	1128
3	3771
4	2085
5	309
6	948
7	1245
8	1335
9	288
10	1107
11	576
12	1152
13	189
14	180
15	2490
16	534
17	264
18	759
19	1164
20	852
21	1140
22	327
23	1188
24	633
25	312
26	2238
27	453
28	882
29	564
30	846
31	1200
32	318
33	441
34	2535
35	900
36	1353
37	750
38	144
39	303
40	162
41	201
42	114
43	129
44	204
45	909
46	1047
47	204
48	504
49	843
50	183
51	651
52	240
53	450
54	261
55	8619
56	471
57	519
58	1059
59	927
60	600
61	672
62	501
63	174
64	1104
65	1311
66	1326
67	1743
68	2103
69	3237
70	3213
71	438
72	879
73	330
74	876
75	1254
76	858
77	957
78	333
79	912
80	2544
81	351
82	210
83	519
84	153
85	198
86	291
87	894
88	3108
89	549
90	525
91	1380
92	1776
93	1086
94	1956
95	1107
96	777
97	447
98	1701
99	1110
100	942
101	741
102	408
103	753
104	180
105	558
106	360
107	1335
108	1119
109	1515
110	819
111	438
112	420
113	1074
114	360
115	411
116	237
117	270
118	171
119	669
120	429
121	1680
122	291
123	789
124	810
125	870
126	627
127	1062
128	1656
129	1236
130	321
131	1251
132	1062
133	450
134	852
135	1470
136	576
137	303
138	753
139	690
140	408
141	972
142	1350
143	861
144	438
145	1125
146	663
147	180
148	1239
149	1896
150	3336
151	510
152	375
153	1101
154	192
155	1587
156	363
157	1236
158	1545
159	1221
160	1752
161	333
162	291
163	1572
164	600
165	516
166	1224
167	744
168	699
169	681
170	1068
171	165
172	1356
173	519
174	933
175	474
176	810
177	2334
178	282
179	675
180	492
181	1338
182	1488
183	1020
184	147
185	147
186	225
187	471
188	312
189	453
190	1245
191	864
192	597
193	669
194	960
195	1272
196	384
197	219
198	1353
199	1131
200	282
201	468
202	153
203	1311
204	399
205	810
206	1785
207	1032
208	225
209	726
210	399
211	375
212	279
213	396
214	306
215	348
216	804
217	813
218	2172
219	459
220	513
221	708
222	1692
223	390
224	765
225	447
226	810
227	654
228	954
229	1311
230	435
231	357
232	786
233	216
234	1095
235	501
236	501
237	1866
238	579
239	408
240	486
241	1110
242	1632
243	543
244	801
245	171
246	780
247	804
248	567
249	726
250	696
251	279
252	990
253	1362
254	1341
255	282
256	1419
257	1416
258	1155
259	804
260	1110
261	552
262	285
263	606
264	465
265	681
266	564
267	1926
268	1482
269	912
270	1212
271	1176
272	345
273	471
274	222
275	294
276	117
277	228
278	1758
279	1440
280	1992
281	228
282	234
283	207
284	594
285	891
286	420
287	177
288	264
289	291
290	531
291	954
292	1125
293	678
294	1734
295	528
296	492
297	780
298	1020
299	1773
300	618
301	1089
302	912
303	1626
304	1320
305	819
306	870
307	1944
308	447
309	783
310	216
311	162
312	138
313	1320
314	1098
315	399
316	396
317	243
318	1347
319	411
320	582
321	312
322	567
323	510
324	1602
325	1524
326	414
327	438
328	1227
329	573
330	924
331	534
332	741
333	1656
334	1128
335	480
336	657
337	636
338	1188
339	1443
340	1800
341	492
342	996
343	414
344	903
345	555
346	4266
347	420
348	2022
349	417
350	438
351	774
352	2946
353	1053
354	978
355	1680
356	894
357	1260
358	900
359	441
360	1446
361	423
362	849
363	243
364	159
365	468
366	2118
367	363
368	666
369	1248
370	1044
371	1074
372	180
373	1200
374	192
375	513
376	300
377	645
378	1266
379	909
380	240
381	672
382	666
383	777
384	3708
385	996
386	666
387	1185
388	1161
389	789
390	300
391	1092
392	333
393	2949
394	642
395	1140
396	846
397	783
398	1131
399	789
400	597
401	750
402	1611
403	546
404	1941
405	1068
406	984
407	654
408	534
409	984
410	906
411	234
412	1173
413	339
414	468
415	507
416	882
417	396
418	1401
419	816
420	2976
421	528
422	552
423	513
424	489
425	480
426	384
427	333
428	639
429	780
430	1203
431	750
432	222
433	519
434	243
435	984
436	231
437	273
438	1938
439	504
440	423
441	438
442	1308
443	663
444	303
445	501
446	1416
447	972
448	1704
449	843
450	222
451	207
452	1191
453	717
454	1521
455	729
456	1314
457	636
458	2334
459	345
460	3312
461	714
462	717
463	1734
464	1278
465	900
466	1971
467	1986
468	1989
469	2019
470	1314
471	1041
472	1140
473	1104
474	1041
475	738
476	612
477	1266
478	915
479	444
480	1824
481	393
482	612
483	600
484	663
485	858
486	846
487	1515
488	936
489	573
490	489
491	1236
492	477
493	261
494	225
495	891
496	1059
497	387
498	168
499	1278
500	1407
501	1095
502	1215
503	1566
504	1311
505	1236
506	453
507	816
508	318
509	375
510	1551
511	1359
512	1428
513	1305
514	840
515	894
516	714
517	1821
518	819
519	1125
520	534
521	945
522	813
523	339
524	303
525	630
526	249
527	1311
528	756
529	330
530	291
531	240
532	582
533	432
534	546
535	537
536	390
537	795
538	585
539	309
540	753
541	918
542	294
543	1056
544	1020
545	627
546	1548
547	336
548	1029
549	1353
550	3756
551	969
552	1020
553	1011
554	420
555	1221
556	1704
557	3849
558	1095
559	336
560	1062
561	783
562	2061
563	861
564	735
565	141
566	1029
567	186
568	234
569	255
570	237
571	1707
572	2088
573	861
574	987
575	732
576	333
577	651
578	855
579	759
580	663
581	1188
582	480
583	360
584	864
585	855
586	609
587	969
588	861
589	1146
590	660
591	456
592	1158
593	213
594	291
595	1026
596	300
597	1797
598	1842
599	1257
600	1641
601	1461
602	1386
603	309
604	450
605	1674
606	4341
607	912
608	1320
609	282
610	771
611	369
612	1692
613	375
614	738
615	2142
616	777
617	552
618	1254
619	138
620	270
621	1245
622	1002
623	1092
624	522
625	1083
626	480
627	930
628	261
629	402
630	438
631	891
632	285
633	276
634	846
635	1293
636	1680
637	768
638	504
639	1305
640	2301
641	1038
642	795
643	480
644	1209
645	609
646	396
647	207
648	1446
649	1044
650	1902
651	570
652	366
653	1953
654	474
655	894
656	237
657	555
658	1350
659	531
660	861
661	1287
662	1671
663	1008
664	507
665	840
666	402
667	786
668	876
669	177
670	1338
671	552
672	450
673	1179
674	1455
675	390
676	609
677	246
678	621
679	813
680	1305
681	435
682	543
683	609
684	468
685	297
686	234
687	909
688	456
689	2277
690	117
691	114
692	600
693	315
694	1143
695	411
696	387
697	243
698	915
699	261
700	648
701	186
702	462
703	279
704	351
705	255
706	201
707	201
708	1320
709	198
710	495
711	309
712	255
713	957
714	438
715	240
716	333
717	495
718	309
719	126
720	345
721	186
722	957
723	438
724	240
725	333
726	471
727	255
728	234
729	204
730	504
731	297
732	234
733	600
734	519
735	261
736	294
737	849
738	1479
739	1866
740	1602
741	1314
742	1203
743	1272
744	918
745	1506
746	1161
747	1101
748	504
749	975
750	909
751	315
752	633
753	321
754	1248
755	756
756	273
757	663
758	741
759	234
760	630
761	516
762	1242
763	1161
764	819
765	534
766	264
767	420
768	663
769	501
770	1989
771	492
772	297
773	558
774	483
775	1848
776	1176
777	1575
778	450
779	360
780	1083
781	840
782	1182
783	1332
784	837
785	1083
786	1599
787	1182
788	795
789	522
790	375
791	606
792	1128
793	1392
794	603
795	498
796	1014
797	1068
798	171
799	333
800	1491
801	696
802	261
803	2055
804	210
805	1212
806	330
807	879
808	852
809	1020
810	477
811	879
812	330
813	516
814	267
815	675
816	1194
817	1353
818	156
819	1098
820	2721
821	1311
822	186
823	1554
824	267
825	225
826	297
827	177
828	153
829	159
830	957
831	378
832	777
833	1062
834	324
835	228
836	216
837	630
838	153
839	183
840	216
841	780
842	1575
843	1206
844	1125
845	3243
846	1113
847	345
848	486
849	234
850	1209
851	357
852	9195
853	507
854	567
855	621
856	1158
857	1869
858	543
859	1641
860	747
861	654
862	1005
863	456
864	531
865	219
866	498
867	2667
868	825
869	759
870	1050
871	450
872	1002
873	180
874	366
875	570
876	894
877	960
878	246
879	648
880	936
881	258
882	228
883	732
884	351
885	828
886	690
887	906
888	537
889	360
890	720
891	1038
892	1164
893	444
894	1065
895	750
896	1068
897	435
898	846
899	1173
900	1539
901	765
902	1278
903	321
904	1893
905	2394
906	3426
907	810
908	450
909	192
910	1752
911	663
912	1284
913	1113
914	789
915	1008
916	411
917	996
918	453
919	4038
920	444
921	213
922	507
923	1500
924	333
925	825
926	159
927	1053
928	606
929	777
930	240
931	2214
932	711
933	1182
934	777
935	783
936	201
937	723
938	306
939	723
940	999
941	402
942	1167
943	1896
944	1656
945	546
946	1314
947	1020
948	2097
949	1026
950	1209
951	516
952	483
953	2577
954	525
955	858
956	198
957	1122
958	813
959	849
960	1203
961	1110
962	891
963	1092
964	468
965	1284
966	660
967	294
968	837
969	468
970	519
971	1587
972	858
973	1683
974	1311
975	1224
976	270
977	276
978	183
979	237
980	285
981	1227
982	420
983	1344
984	483
985	282
986	1026
987	1251
988	462
989	1353
990	531
991	744
992	483
993	237
994	171
995	1410
996	1245
997	570
998	1029
999	966
1000	465
1001	273
1002	978
1003	924
1004	1095
1005	1524
1006	990
1007	723
1008	888
1009	444
1010	465
1011	1176
1012	1836
1013	1320
1014	1272
1015	504
1016	702
1017	438
1018	1083
1019	1260
1020	702
1021	1122
1022	645
1023	1344
1024	336
1025	1134
1026	276
1027	231
1028	1218
1029	1725
1030	2214
1031	255
1032	519
1033	480
1034	429
1035	1146
1036	432
1037	708
1038	579
1039	441
1040	1146
1041	495
1042	1125
1043	237
1044	1491
1045	1794
1046	2628
1047	1140
1048	309
1049	432
1050	429
1051	558
1052	606
1053	1188
1054	1158
1055	777
1056	552
1057	984
1058	1161
1059	762
1060	900
1061	1026
1062	642
1063	1455
1064	582
1065	732
1066	321
1067	366
1068	300
1069	144
1070	117
1071	822
1072	369
1073	1671
1074	2004
1075	870
1076	1218
1077	1266
1078	237
1079	579
1080	1290
1081	816
1082	435
1083	654
1084	402
1085	1416
1086	1353
1087	759
1088	1407
1089	564
1090	2382
1091	918
1092	657
1093	3861
1094	387
1095	1428
1096	1503
1097	303
1098	1047
1099	1785
1100	588
1101	630
1102	237
1103	1125
1104	1116
1105	1311
1106	216
1107	996
1108	1035
1109	2124
1110	1491
1111	741
1112	582
1113	1320
1114	723
1115	513
1116	441
1117	318
1118	1353
1119	1422
1120	1062
1121	672
1122	1290
1123	1101
1124	606
1125	1533
1126	1149
1127	1530
1128	588
1129	1155
1130	1185
1131	1188
1132	1566
1133	1059
1134	186
1135	1305
1136	513
1137	705
1138	957
1139	1866
1140	1353
1141	1146
1142	633
1143	1806
1144	945
1145	618
1146	285
1147	687
1148	3273
1149	972
1150	3162
1151	477
1152	1173
1153	1101
1154	789
1155	1107
1156	1359
1157	1101
1158	1044
1159	756
1160	270
1161	876
1162	1137
1163	864
1164	960
1165	900
1166	2337
1167	270
1168	456
1169	1011
1170	915
1171	1638
1172	720
1173	2802
1174	414
1175	348
1176	171
1177	798
1178	654
1179	1176
1180	966
1181	1026
1182	483
1183	1164
1184	1467
1185	900
1186	705
1187	1101
1188	945
1189	762
1190	825
1191	162
1192	435
1193	1320
1194	633
1195	537
1196	258
1197	1218
1198	876
1199	612
1200	891
1201	369
1202	702
1203	699
1204	798
1205	780
1206	483
1207	1164
1208	984
1209	1248
1210	1785
1211	699
1212	1605
1213	468
1214	1491
1215	870
1216	417
1217	432
1218	465
1219	1065
1220	444
1221	252
1222	450
1223	1143
1224	324
1225	957
1226	1146
1227	702
1228	459
1229	2139
1230	1254
1231	1089
1232	1770
1233	1026
1234	735
1235	309
1236	666
1237	249
1238	336
1239	231
1240	1905
1241	1104
1242	894
1243	1248
1244	474
1245	309
1246	1038
1247	255
1248	1014
1249	1398
1250	429
1251	345
1252	234
1253	360
1254	336
1255	213
1256	507
1257	261
1258	1605
1259	1278
1260	183
1261	792
1262	1128
1263	1836
1264	231
1265	891
1266	1230
1267	894
1268	636
1269	846
1270	411
1271	1113
1272	309
1273	1641
1274	855
1275	1320
1276	504
1277	1125
1278	336
1279	1209
1280	684
1281	1818
1282	492
1283	684
1284	2634
1285	1716
1286	1323
1287	390
1288	498
1289	402
1290	306
1291	378
1292	1161
1293	318
1294	1731
1295	174
1296	1194
1297	1503
1298	426
1299	525
1300	270
1301	153
1302	252
1303	249
1304	561
1305	408
1306	681
1307	774
1308	1623
1309	405
1310	516
1311	1290
1312	639
1313	1149
1314	1056
1315	504
1316	852
1317	1335
1318	771
1319	774
1320	168
1321	282
1322	567
1323	1188
1324	735
1325	864
1326	765
1327	1245
1328	261
1329	489
1330	1971
1331	1008
1332	498
1333	534
1334	738
1335	1014
1336	3609
1337	525
1338	2379
1339	555
1340	864
1341	702
1342	210
1343	309
1344	1275
1345	2196
1346	1380
1347	996
1348	777
1349	2031
1350	711
1351	231
1352	1353
1353	669
1354	255
1355	1095
1356	549
1357	1365
1358	1677
1359	771
1360	1413
1361	267
1362	1305
1363	207
1364	3186
1365	243
1366	1230
1367	210
1368	471
1369	1215
1370	573
1371	1026
1372	633
1373	1431
1374	768
1375	711
1376	609
1377	513
1378	915
1379	201
1380	162
1381	1014
1382	768
1383	720
1384	1014
1385	285
1386	963
1387	504
1388	786
1389	1680
1390	195
1391	600
1392	1809
1393	432
1394	171
1395	213
1396	369
1397	858
1398	1452
1399	354
1400	744
1401	2082
1402	594
1403	324
1404	1338
1405	573
1406	1059
1407	450
1408	363
1409	588
1410	765
1411	456
1412	351
1413	228
1414	171
1415	402
1416	309
1417	2361
1418	1743
1419	462
1420	1239
1421	387
1422	915
1423	441
1424	585
1425	1035
1426	387
1427	591
1428	1425
1429	1215
1430	624
1431	774
1432	879
1433	300
1434	255
1435	1272
1436	213
1437	411
1438	180
1439	627
1440	642
1441	372
1442	189
1443	2559
1444	423
1445	957
1446	1209
1447	744
1448	642
1449	1284
1450	1557
1451	1038
1452	405
1453	396
1454	606
1455	1299
1456	315
1457	2328
1458	1053
1459	396
1460	741
1461	339
1462	1995
1463	1512
1464	1005
1465	1125
1466	972
1467	489
1468	180
1469	939
1470	648
1471	639
1472	618
1473	777
1474	1182
1475	210
1476	1206
1477	687
1478	324
1479	795
1480	1224
1481	840
1482	1218
1483	867
1484	1857
1485	3705
1486	1518
1487	933
1488	957
1489	642
1490	156
1491	789
1492	975
1493	879
1494	330
1495	3039
1496	3726
1497	1272
1498	705
1499	180
1500	384
1501	759
1502	726
1503	1752
1504	900
1505	1248
1506	612
1507	1941
1508	1473
1509	693
1510	330
1511	1473
1512	1014
1513	1299
1514	918
1515	1257
1516	1476
1517	192
1518	909
1519	165
1520	546
1521	2106
1522	900
1523	144
1524	192
1525	342
1526	1653
1527	1398
1528	597
1529	705
1530	999
1531	1428
1532	1326
1533	309
1534	855
1535	393
1536	927
1537	1449
1538	873
1539	861
1540	516
1541	1548
1542	384
1543	201
1544	429
1545	1188
1546	801
1547	1251
1548	621
1549	435
1550	228
1551	630
1552	468
1553	255
1554	972
1555	930
1556	1272
1557	936
1558	636
1559	633
1560	924
1561	861
1562	513
1563	600
1564	882
1565	1146
1566	759
1567	150
1568	1236
1569	954
1570	828
1571	480
1572	594
1573	582
1574	396
1575	1161
1576	1110
1577	189
1578	381
1579	990
1580	423
