index	length_bp
1	66
2	2463
3	933
4	1287
5	297
6	777
7	1431
8	954
9	588
10	567
11	714
12	486
13	405
14	1917
15	1131
16	1113
17	210
18	153
19	1167
20	906
21	504
22	276
23	264
24	219
25	942
26	2817
27	495
28	450
29	951
30	915
31	822
32	1149
33	3222
34	396
35	591
36	786
37	1554
38	1218
39	1143
40	1515
41	771
42	942
43	1287
44	288
45	1332
46	531
47	1863
48	480
49	843
50	378
51	822
52	990
53	1287
54	2355
55	816
56	651
57	159
58	660
59	2907
60	2352
61	696
62	1503
63	1701
64	879
65	765
66	699
67	1611
68	984
69	1656
70	132
71	1179
72	606
73	1401
74	1092
75	1572
76	87
77	945
78	45
79	1725
80	492
81	1005
82	459
83	942
84	366
85	1767
86	1488
87	1359
88	1083
89	1317
90	1245
91	1068
92	1476
93	921
94	831
95	1263
96	1152
97	918
98	513
99	2706
100	390
101	198
102	744
103	621
104	45
105	1044
106	1203
107	1386
108	441
109	894
110	552
111	855
112	1374
113	765
114	2664
115	1893
116	1425
117	1854
118	2598
119	363
120	795
121	867
122	348
123	1551
124	2391
125	537
126	663
127	927
128	771
129	441
130	1230
131	381
132	903
133	852
134	795
135	1239
136	597
137	606
138	570
139	2598
140	741
141	585
142	480
143	1398
144	927
145	456
146	705
147	531
148	2430
149	2535
150	2400
151	2244
152	798
153	891
154	1983
155	1281
156	48
157	1422
158	66
159	345
160	624
161	801
162	699
163	1518
164	1425
165	1158
166	387
167	813
168	825
169	2673
170	795
171	726
172	852
173	726
174	558
175	1197
176	762
177	858
178	1353
179	2433
180	486
181	1026
182	456
183	789
184	1149
185	597
186	3483
187	960
188	2142
189	390
190	1299
191	255
192	201
193	546
194	423
195	711
196	825
197	1719
198	708
199	405
200	816
201	654
202	1032
203	576
204	804
205	915
206	801
207	624
208	1359
209	756
210	33
211	723
212	468
213	732
214	786
215	480
216	771
217	474
218	2445
219	579
220	768
221	741
222	279
223	261
224	750
225	498
226	1056
227	294
228	399
229	453
230	1458
231	459
232	1245
233	71
234	331
235	504
236	276
237	1056
238	1104
239	1254
240	342
241	318
242	222
243	477
244	459
245	240
246	468
247	444
248	822
249	864
250	894
251	263
252	427
253	1152
254	1146
255	981
256	1404
257	933
258	1047
259	504
260	276
261	351
262	1155
263	909
264	1968
265	1383
266	1611
267	759
268	1005
269	96
270	129
271	504
272	276
273	732
274	627
275	699
276	855
277	225
278	441
279	1401
280	411
281	957
282	2199
283	957
284	690
285	615
286	330
287	711
288	1644
289	2526
290	669
291	588
292	591
293	228
294	141
295	264
296	102
297	300
298	867
299	594
300	237
301	1326
302	855
303	720
304	1428
305	696
306	669
307	1671
308	1473
309	588
310	2034
311	75
312	1089
313	933
314	498
315	606
316	864
317	1548
318	1419
319	321
320	951
321	1383
322	1050
323	816
324	183
325	246
326	672
327	276
328	1587
329	891
330	1170
331	1452
332	1887
333	1260
334	1284
335	900
336	660
337	471
338	1155
339	612
340	1254
341	3075
342	1083
343	834
344	1665
345	945
346	867
347	810
348	951
349	1014
350	1212
351	540
352	834
353	1110
354	276
355	774
356	282
357	417
358	366
359	906
360	1197
361	120
362	558
363	963
364	768
365	828
366	852
367	975
368	1458
369	1449
370	57
371	867
372	300
373	624
374	1158
375	1221
376	1095
377	309
378	213
379	1095
380	261
381	1416
382	321
383	1116
384	810
385	459
386	525
387	192
388	678
389	285
390	84
391	912
392	909
393	1185
394	3147
395	1203
396	690
397	1296
398	1320
399	1374
400	1815
401	582
402	1071
403	1128
404	333
405	1848
406	972
407	348
408	885
409	540
410	450
411	1104
412	471
413	420
414	978
415	519
416	975
417	1863
418	900
419	243
420	1449
421	591
422	912
423	492
424	1365
425	891
426	330
427	615
428	1992
429	948
430	1476
431	579
432	318
433	1299
434	624
435	1275
436	2355
437	273
438	1872
439	372
440	399
441	696
442	1701
443	819
444	459
445	1773
446	1782
447	339
448	1287
449	861
450	573
451	390
452	354
453	1551
454	471
455	552
456	219
457	375
458	3150
459	1194
460	648
461	3363
462	162
463	528
464	378
465	552
466	1932
467	1284
468	12
469	330
470	606
471	1875
472	645
473	963
474	960
475	1305
476	1677
477	1221
478	1653
