index	length_bp
1	1887
2	837
3	240
4	486
5	531
6	1533
7	864
8	1389
9	417
10	1386
11	1839
12	1362
13	1623
14	144
15	1110
16	2412
17	2172
18	1359
19	999
20	786
21	819
22	489
23	3255
24	1131
25	798
26	1071
27	378
28	471
29	2118
30	345
31	555
32	891
33	981
34	1158
35	2187
36	456
37	678
38	411
39	402
40	840
41	1233
42	741
43	783
44	687
45	1113
46	1638
47	942
48	777
49	273
50	792
51	330
52	408
53	960
54	489
55	1236
56	453
57	1377
58	672
59	1014
60	1710
61	330
62	393
63	1518
64	1266
65	948
66	2481
67	756
68	474
69	741
70	582
71	981
72	846
73	1308
74	345
75	1068
76	237
77	816
78	600
79	876
80	702
81	1911
82	591
83	201
84	354
85	1002
86	2412
87	1050
88	2352
89	180
90	945
91	735
92	237
93	1047
94	705
95	990
96	795
97	342
98	1308
99	2058
100	1206
101	690
102	801
103	1395
104	1107
105	885
106	1275
107	1848
108	999
109	672
110	888
111	441
112	483
113	1683
114	486
115	798
116	699
117	1326
118	1341
119	456
120	1617
121	1470
122	1455
123	519
124	1197
125	645
126	1422
127	822
128	2385
129	1731
130	1545
131	1014
132	975
133	807
134	1368
135	1557
136	1440
137	3891
138	456
139	390
140	429
141	1107
142	372
143	1374
144	1881
145	903
146	903
147	849
148	1965
149	618
150	330
151	867
152	1887
153	2331
154	1248
155	585
156	1308
157	1167
158	1014
159	972
160	1965
161	861
162	1689
163	253
164	359
165	435
166	564
167	984
168	618
169	2595
170	522
171	1044
172	636
173	1758
174	1107
175	1233
176	651
177	951
178	210
179	753
180	1305
181	2139
182	1200
183	1428
184	969
185	264
186	1221
187	990
188	1347
189	678
190	723
191	774
192	873
193	147
194	627
195	1800
196	942
197	681
198	738
199	420
200	741
201	2499
202	897
203	1155
204	1257
205	729
206	1428
207	1080
208	1146
209	1317
210	1083
211	1392
212	1491
213	1689
214	315
215	930
216	495
217	231
218	1053
219	705
220	1734
221	1749
222	1752
223	2118
224	270
225	984
226	378
227	2526
228	1485
229	342
230	1341
231	801
232	1917
233	333
234	279
235	477
236	2622
237	996
238	1038
239	642
240	1212
241	219
242	876
243	738
244	852
245	1392
246	747
247	495
248	1101
249	1518
250	1341
251	243
252	348
253	789
254	171
255	1092
256	1746
257	342
258	870
259	630
260	1641
261	294
262	453
263	228
264	342
265	1401
266	492
267	3252
268	3489
269	1005
270	375
271	843
272	1095
273	831
274	717
275	2160
276	948
277	771
278	750
279	1167
280	1356
281	543
282	216
283	909
284	783
285	1131
286	525
287	1161
288	810
289	681
290	570
291	1650
292	507
293	1284
294	1179
295	948
296	462
297	2823
298	963
299	267
300	1191
301	1125
302	1938
303	534
304	624
305	1149
306	1260
307	339
308	1185
309	1071
310	753
311	1137
312	795
313	861
314	1287
315	489
316	1413
317	582
318	549
319	1158
320	651
321	819
322	840
323	795
324	1431
325	1491
326	2661
327	876
328	567
329	720
330	984
331	273
332	1257
333	765
334	897
335	1041
336	621
337	321
338	648
339	435
340	651
341	1491
342	630
343	552
344	1395
345	825
346	846
347	846
348	1095
349	1263
350	414
351	915
352	918
353	576
354	1074
355	930
356	1332
357	1659
358	234
359	435
360	1233
361	1296
362	741
363	1521
364	438
365	795
366	699
367	594
368	774
369	1488
370	408
371	1377
372	840
373	870
374	804
375	693
376	276
377	834
378	732
379	1074
380	1458
381	954
382	3480
383	1158
384	816
385	1023
386	510
387	2418
388	1341
389	870
390	783
391	1194
392	558
393	384
394	342
395	813
396	723
397	792
398	825
399	1440
400	372
401	675
402	2043
403	1203
404	663
405	462
406	1215
407	237
408	168
409	189
410	624
411	426
412	1224
413	924
414	756
415	513
416	1296
417	756
418	414
419	708
420	891
421	1191
422	1242
423	2730
424	744
425	1767
426	342
427	420
428	750
429	1617
430	513
431	3264
432	864
433	561
434	660
435	1188
436	1332
437	339
438	3951
439	1776
440	726
441	930
442	255
443	1743
444	837
445	1482
446	594
447	1104
448	681
449	2544
450	1500
451	459
452	867
453	798
454	846
455	564
456	1302
457	1170
458	1188
459	762
460	684
461	1059
462	1074
463	1506
464	2646
465	930
466	1155
467	465
468	126
469	990
470	501
471	804
472	1806
473	1749
474	216
475	1023
476	360
477	804
478	1182
479	1014
480	264
481	312
482	972
483	987
484	540
485	2250
486	720
487	1740
488	1665
489	561
490	1086
491	600
492	1320
493	1290
494	621
495	495
496	945
497	1290
498	1380
499	960
500	459
501	585
502	732
503	1398
504	504
505	1263
506	657
507	330
508	1122
509	765
510	648
511	1815
512	1083
513	273
514	1305
515	1590
516	1023
517	768
518	798
519	1185
520	384
521	546
522	429
523	729
524	486
525	372
526	4029
527	4218
528	204
529	1098
530	309
531	1917
532	633
533	966
534	660
535	474
536	690
537	324
538	681
539	945
540	1653
541	591
542	696
543	990
544	234
545	429
546	312
547	648
548	606
549	306
550	828
551	429
552	336
553	711
554	411
555	207
556	279
557	372
558	315
559	537
560	306
561	393
562	537
563	354
564	501
565	177
566	435
567	1350
568	117
569	357
570	396
571	678
572	987
573	369
574	429
575	1149
576	477
577	1101
578	1299
579	402
580	1371
581	1626
582	561
583	825
584	702
585	1005
586	2010
587	960
588	912
589	780
590	315
591	1638
592	597
593	1404
594	462
595	2448
596	1038
597	909
598	2085
599	627
600	1791
601	1686
602	1647
603	507
604	909
605	1044
606	459
607	1338
608	1533
609	1464
610	1569
611	864
612	1878
613	975
614	2115
615	426
