index	length_bp
1	282
2	153
3	306
4	1479
5	1467
6	2769
7	156
8	2895
9	825
10	1308
11	276
12	2058
13	726
14	1572
15	2160
16	456
17	534
18	2319
19	1776
20	1065
21	189
22	1485
23	1338
24	2115
25	1707
26	591
27	1605
28	939
29	924
30	867
31	2460
32	786
33	369
34	642
35	177
36	1179
37	2037
38	1251
39	1464
40	798
41	327
42	1716
43	291
44	1329
45	1350
46	783
47	2208
48	201
49	2118
50	483
51	318
52	282
53	705
54	1362
55	714
56	465
57	1797
58	624
59	927
60	438
61	501
62	678
63	1386
64	261
65	234
66	1752
67	1734
68	1104
69	576
70	1563
71	450
72	1032
73	222
74	1185
75	252
76	549
77	426
78	699
79	513
80	390
81	3759
82	4182
83	984
84	381
85	744
86	627
87	801
88	1776
89	1317
90	525
91	1983
92	426
93	564
94	2823
95	2799
96	5481
97	1455
98	1389
99	300
100	1278
101	840
102	1347
103	1035
104	1203
105	855
106	1299
107	738
108	558
109	156
110	3132
111	1911
112	807
113	330
114	1074
115	891
116	1347
117	360
118	1086
119	366
120	645
121	507
122	294
123	1656
124	2199
125	1341
126	513
127	153
128	2280
129	1017
130	780
131	1185
132	1023
133	978
134	774
135	1635
136	309
137	1836
138	756
139	1323
140	567
141	441
142	696
143	279
144	1125
145	2610
146	1569
147	486
148	450
149	1860
150	1989
151	4614
152	1521
153	951
154	2463
155	1314
156	207
157	543
158	429
159	540
160	309
161	1635
162	828
163	1029
164	372
165	558
166	588
167	336
168	333
169	228
170	795
171	156
172	1005
173	1290
174	741
175	264
176	276
177	495
178	381
179	1236
180	855
181	267
182	351
183	555
184	402
185	1365
186	504
187	558
188	690
189	1173
190	801
191	1293
192	3429
193	1359
194	681
195	654
196	444
197	1035
198	1599
199	1584
200	1308
201	1587
202	945
203	855
204	855
205	789
206	183
207	798
208	189
209	198
210	756
211	1413
212	1653
213	246
214	948
215	297
216	1194
217	159
218	1215
219	1260
220	438
221	687
222	570
223	1119
224	546
225	411
226	192
227	342
228	381
229	243
230	171
231	672
232	405
233	414
234	702
235	1380
236	681
237	708
238	894
239	174
240	696
241	765
242	1614
243	456
244	1539
245	801
246	1167
247	1167
248	435
249	426
250	240
251	642
252	858
253	405
254	450
255	681
256	1512
257	159
258	1503
259	513
260	510
261	807
262	840
263	870
264	864
265	549
266	165
267	516
268	735
269	846
270	891
271	579
272	894
273	696
274	783
275	345
276	978
277	861
278	732
279	756
280	621
281	2505
282	2418
283	348
284	201
285	510
286	819
287	666
288	1026
289	1050
290	1407
291	969
292	423
293	1548
294	1413
295	2136
296	1149
297	1188
298	1485
299	156
300	531
301	612
302	2778
303	414
304	240
305	747
306	927
307	1008
308	603
309	2379
310	516
311	1083
312	1041
313	1029
314	987
315	1290
316	2475
317	366
318	1383
319	2373
320	867
321	456
322	369
323	936
324	171
325	1743
326	1305
327	2691
328	363
329	708
330	921
331	1095
332	1083
333	2133
334	1200
335	444
336	1581
337	270
338	1755
339	1062
340	477
341	1740
342	294
343	516
344	861
345	945
346	498
347	1101
348	978
349	1866
350	1140
351	975
352	1356
353	780
354	972
355	204
356	507
357	1548
358	1281
359	246
360	1344
361	1302
362	354
363	852
364	177
365	171
366	1809
367	1440
368	1269
369	183
370	774
371	1749
372	276
373	1035
374	153
375	468
376	222
377	738
378	342
379	1215
380	1116
381	360
382	318
383	1842
384	687
385	498
386	444
387	1095
388	2727
389	447
390	1146
391	1779
392	717
393	948
394	519
